Name,DateOfBirth,AadhaarNumber,PAN,SalaryEarned,Allowances,SelfOrFamilyPension,BankName,AccountNumber,PublicOrPrivateBank
Damian Franco,01/07/1984,873807565899,ZGKLA5287H,25000,5000,SELF,HDFC,887459654125,PRIVATE
Maeve Stanton,30/12/1983,693079817548,DAJPC4150P,35000,5000,SELF,ICICI,740609401978,PRIVATE
Rey Durham,07/06/1975,908328142168,XGZFE7225A,45000,5000,FAMILY,IOB,876477160776,PUBLIC
Zoey Gallagher,23/10/1978,588989400378,CTUGE1616I,55000,5000,SELF,FEDERAL,575651527897,PRIVATE
Kamora Hernandez,02/07/1981,390951863948,PEVFV4506Y,35000,5000,SELF,IDBI,988998388324,PRIVATE
Brendon Duke,20/10/1976,300637989518,UWPCL6780T,75000,5000,FAMILY,IOB,221546998079,PUBLIC
Maxim Ortega,11/01/1986,713566153022,LQDTD5444T,65000,5000,SELF,AXIS,584773179643,PRIVATE
Elyse Reese,17/07/1987,112843452381,YUGFJ2046V,55000,5000,SELF,ICICI,413376565892,PRIVATE
Kennedi Hess,18/04/1989,430629469028,DDWCH0856B,85000,5000,FAMILY,CANARA,681393000452,PUBLIC
Trace Moran,02/09/1976,208800039478,NLXBC1905E,35000,5000,SELF,HDFC,651810086661,PRIVATE
Spencer Travis,12/06/1982,904484708526,GFQJR7008X,15000,5000,SELF,AXIS,940008353135,PRIVATE
Ben Jenkins,08/05/1987,314152190714,HAIBF2803J,45000,5000,FAMILY,CANARA,847363745811,PUBLIC
Trystan Holder,05/09/1982,455256177178,PAOTD0722J,55000,5000,SELF,HDFC,244858250254,PRIVATE
Janiyah Savage,18/07/1979,550517460411,YSNCH0058E,25000,5000,SELF,CANARA,767512003396,PUBLIC
Kenley Brown,06/09/1978,527528024980,KOAHM4127V,65000,5000,FAMILY,FEDERAL,871558243057,PRIVATE
Angelo French,19/01/1985,689895787042,AALAE0983J,25000,5000,SELF,AXIS,937445851441,PRIVATE
Annabelle Cochran,22/12/1981,661697789081,IDKAU8404X,75000,5000,SELF,CANARA,742339729473,PUBLIC
Dayton Larson,02/05/1981,250750461278,RCPLI5103X,95000,5000,FAMILY,IDBI,324955820032,PRIVATE
Aileen Conley,12/03/1986,520300458470,SJRGW6993R,35000,5000,SELF,AXIS,810113233728,PRIVATE
Giana Wiggins,15/03/1980,831218622222,JBBLZ1931E,45000,5000,SELF,IOB,432501609279,PUBLIC
